ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2017,"2017","04000US48","Texas",37524,3688.1443843754278,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2017,"2017","04000US48","Texas",65550,5220.600061295636,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2017,"2017","04000US48","Texas",94617,5199.1168480810275,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,"2017","04000US48","Texas",13278,2133.1940839970466,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2017,"2017","04000US48","Texas",72697,5824.94291817525,"San Antonio, TX","16000US4865000","san-antonio-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,"2017","04000US48","Texas",33006,3148.4246854577923,"San Antonio, TX","16000US4865000","san-antonio-tx"
12,"Public Administration (Group)",19,"Public Administration",2017,"2017","04000US48","Texas",28053,3118.025176293482,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2016,"2016","04000US48","Texas",1268,775.0161288644257,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2016,"2016","04000US48","Texas",4654,1208.6790310086462,"San Antonio, TX","16000US4865000","san-antonio-tx"
1,"Construction (Group)",2,"Construction",2016,"2016","04000US48","Texas",59992,4494.88264585406,"San Antonio, TX","16000US4865000","san-antonio-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2016,"2016","04000US48","Texas",39085,4056.2550462218223,"San Antonio, TX","16000US4865000","san-antonio-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2016,"2016","04000US48","Texas",12554,1922.032778076378,"San Antonio, TX","16000US4865000","san-antonio-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2016,"2016","04000US48","Texas",88707,6452.58521834466,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2016,"2016","04000US48","Texas",27518,3166.1340780200703,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2016,"2016","04000US48","Texas",4029,1358.4995399336726,"San Antonio, TX","16000US4865000","san-antonio-tx"
6,"Information (Group)",8,"Information",2016,"2016","04000US48","Texas",12211,1837.7369235012939,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2016,"2016","04000US48","Texas",44296,3373.7531029996844,"San Antonio, TX","16000US4865000","san-antonio-tx"
