ID Place,Place,ID Year,Year,Average Commute Time,Slug Place
"16000US3988000","Youngstown, OH",2019,"2019",21.765490533562822,"youngstown-oh"
"16000US4009050","Broken Arrow, OK",2019,"2019",20.842381327039078,"broken-arrow-ok"
"16000US4052500","Norman, OK",2019,"2019",22.030063421464458,"norman-ok"
"16000US4055000","Oklahoma City, OK",2019,"2019",20.96170997179985,"oklahoma-city-ok"
"16000US4075000","Tulsa, OK",2019,"2019",17.830958667747247,"tulsa-ok"
"16000US4105350","Beaverton, OR",2019,"2019",23.42856897499313,"beaverton-or"
"16000US4123850","Eugene, OR",2019,"2019",18.977957556571695,"eugene-or"
"16000US4131250","Gresham, OR",2019,"2019",26.792454572314966,"gresham-or"
"16000US4134100","Hillsboro, OR",2019,"2019",22.590464525657882,"hillsboro-or"
"16000US4159000","Portland, OR",2019,"2019",23.916902934266215,"portland-or"
"16000US4164900","Salem, OR",2019,"2019",23.069522864845617,"salem-or"
"16000US4202000","Allentown, PA",2019,"2019",24.899142193587053,"allentown-pa"
"16000US4224000","Erie, PA",2019,"2019",17.509226024973458,"erie-pa"
"16000US4260000","Philadelphia, PA",2019,"2019",32.52477279884825,"philadelphia-pa"
"16000US4261000","Pittsburgh, PA",2019,"2019",23.820287076511693,"pittsburgh-pa"
"16000US4269000","Scranton, PA",2019,"2019",19.51630307979468,"scranton-pa"
"16000US4459000","Providence, RI",2019,"2019",22.61110283244879,"providence-ri"
"16000US4513330","Charleston, SC",2019,"2019",22.466096910978955,"charleston-sc"
"16000US4516000","Columbia, SC",2019,"2019",15.801569935580616,"columbia-sc"
"16000US4659020","Sioux Falls, SD",2019,"2019",16.87103897647152,"sioux-falls-sd"
"16000US4714000","Chattanooga, TN",2019,"2019",19.123343192025413,"chattanooga-tn"
"16000US4740000","Knoxville, TN",2019,"2019",19.938001340511555,"knoxville-tn"
"16000US4748000","Memphis, TN",2019,"2019",21.486502707689564,"memphis-tn"
"16000US4752006","Nashville-Davidson metropolitan government (balance), TN",2019,"2019",23.028735755233562,"nashville-davidson-metropolitan-government-balance-tn"
"16000US4803000","Amarillo, TX",2019,"2019",18.968592046285405,"amarillo-tx"
"16000US4804000","Arlington, TX",2019,"2019",25.533079461792333,"arlington-tx"
"16000US4805000","Austin, TX",2019,"2019",22.545320280858572,"austin-tx"
"16000US4817000","Corpus Christi, TX",2019,"2019",18.98952226351306,"corpus-christi-tx"
"16000US4819000","Dallas, TX",2019,"2019",25.94293764572835,"dallas-tx"
"16000US4819972","Denton, TX",2019,"2019",24.85118851214909,"denton-tx"
"16000US4824000","El Paso, TX",2019,"2019",22.78276868543116,"el-paso-tx"
"16000US4827000","Fort Worth, TX",2019,"2019",25.882971434773467,"fort-worth-tx"
"16000US4829000","Garland, TX",2019,"2019",28.596511538164698,"garland-tx"
"16000US4835000","Houston, TX",2019,"2019",27.220984311411616,"houston-tx"
"16000US4837000","Irving, TX",2019,"2019",23.153646017559993,"irving-tx"
"16000US4841464","Laredo, TX",2019,"2019",20.012160537038035,"laredo-tx"
"16000US4845000","Lubbock, TX",2019,"2019",15.588363732776031,"lubbock-tx"
"16000US4858016","Plano, TX",2019,"2019",23.75133850453133,"plano-tx"
"16000US4865000","San Antonio, TX",2019,"2019",24.48160894090073,"san-antonio-tx"
"16000US4957300","Orem, UT",2019,"2019",18.61061642449508,"orem-ut"
"16000US4962470","Provo, UT",2019,"2019",17.59313244363711,"provo-ut"
"16000US4967000","Salt Lake City, UT",2019,"2019",18.49592552478209,"salt-lake-city-ut"
"16000US4967440","Sandy, UT",2019,"2019",21.81509317409657,"sandy-ut"
"16000US5101000","Alexandria, VA",2019,"2019",31.45427740327817,"alexandria-va"
"16000US5103000","Arlington, VA",2019,"2019",27.851004016064255,"arlington-va"
"16000US5156000","Newport News, VA",2019,"2019",21.94803178582518,"newport-news-va"
"16000US5157000","Norfolk, VA",2019,"2019",21.336954710062578,"norfolk-va"
"16000US5167000","Richmond, VA",2019,"2019",21.21816226531041,"richmond-va"
"16000US5182000","Virginia Beach, VA",2019,"2019",22.969806812198776,"virginia-beach-va"
"16000US5303180","Auburn, WA",2019,"2019",32.457496890016344,"auburn-wa"
"16000US5305210","Bellevue, WA",2019,"2019",22.50314160227937,"bellevue-wa"
"16000US5305280","Bellingham, WA",2019,"2019",19.969806100265707,"bellingham-wa"
"16000US5323515","Federal Way, WA",2019,"2019",35.58947590424971,"federal-way-wa"
"16000US5335415","Kent, WA",2019,"2019",29.949282764772743,"kent-wa"
"16000US5335940","Kirkland, WA",2019,"2019",25.249043279283544,"kirkland-wa"
"16000US5357745","Renton, WA",2019,"2019",31.085288475726724,"renton-wa"
"16000US5363000","Seattle, WA",2019,"2019",26.145381895087198,"seattle-wa"
"16000US5367000","Spokane, WA",2019,"2019",21.042578475986204,"spokane-wa"
"16000US5370000","Tacoma, WA",2019,"2019",28.357441710770992,"tacoma-wa"
"16000US5374060","Vancouver, WA",2019,"2019",23.835614148483295,"vancouver-wa"
"16000US5548000","Madison, WI",2019,"2019",18.992032251920513,"madison-wi"
"16000US5553000","Milwaukee, WI",2019,"2019",21.759634850833155,"milwaukee-wi"
"16000US7206593","Bayamón, PR",2019,"2019",32.119002741603836,"bayamon-pr"
"16000US7276770","San Juan, PR",2019,"2019",26.435334739390058,"san-juan-pr"
"16000US0107000","Birmingham, AL",2018,"2018",22.116089006913604,"birmingham-al"
"16000US0150000","Mobile, AL",2018,"2018",21.934918855570558,"mobile-al"
"16000US0203000","Anchorage, AK",2018,"2018",18.744948061057485,"anchorage-ak"
"16000US0412000","Chandler, AZ",2018,"2018",22.359625221800687,"chandler-az"
"16000US0423620","Flagstaff, AZ",2018,"2018",15.892441244971417,"flagstaff-az"
"16000US0427400","Gilbert, AZ",2018,"2018",25.1734392921514,"gilbert-az"
"16000US0427820","Glendale, AZ",2018,"2018",27.65151381953724,"glendale-az"
"16000US0446000","Mesa, AZ",2018,"2018",23.321945708958356,"mesa-az"
"16000US0454050","Peoria, AZ",2018,"2018",27.441863334114657,"peoria-az"
"16000US0455000","Phoenix, AZ",2018,"2018",24.04852611451367,"phoenix-az"
"16000US0465000","Scottsdale, AZ",2018,"2018",18.537172616801268,"scottsdale-az"
"16000US0473000","Tempe, AZ",2018,"2018",20.183689723192042,"tempe-az"
"16000US0477000","Tucson, AZ",2018,"2018",22.076293686039776,"tucson-az"
"16000US0541000","Little Rock, AR",2018,"2018",19.001815792377684,"little-rock-ar"
"16000US0600562","Alameda, CA",2018,"2018",32.085025049267514,"alameda-ca"
"16000US0600884","Alhambra, CA",2018,"2018",28.212330841077957,"alhambra-ca"
"16000US0602000","Anaheim, CA",2018,"2018",27.778797186056753,"anaheim-ca"
"16000US0602252","Antioch, CA",2018,"2018",43.68826335485463,"antioch-ca"
"16000US0603526","Bakersfield, CA",2018,"2018",21.80719366858621,"bakersfield-ca"
"16000US0604982","Bellflower, CA",2018,"2018",29.94190468696724,"bellflower-ca"
"16000US0606000","Berkeley, CA",2018,"2018",28.662317413425242,"berkeley-ca"
"16000US0608954","Burbank, CA",2018,"2018",26.302561530746086,"burbank-ca"
"16000US0613014","Chico, CA",2018,"2018",18.206741385775594,"chico-ca"
"16000US0613392","Chula Vista, CA",2018,"2018",29.68983009651647,"chula-vista-ca"
"16000US0616000","Concord, CA",2018,"2018",35.264634129532894,"concord-ca"
"16000US0616350","Corona, CA",2018,"2018",35.598494385737354,"corona-ca"
"16000US0616532","Costa Mesa, CA",2018,"2018",20.326163441548058,"costa-mesa-ca"
"16000US0617918","Daly City, CA",2018,"2018",29.70133698112593,"daly-city-ca"
"16000US0619766","Downey, CA",2018,"2018",31.20178068337788,"downey-ca"
"16000US0620802","East Los Angeles, CA",2018,"2018",29.097847509371256,"east-los-angeles-ca"
"16000US0622020","Elk Grove, CA",2018,"2018",31.411507143954523,"elk-grove-ca"
"16000US0622230","El Monte, CA",2018,"2018",29.091514795218497,"el-monte-ca"
"16000US0622804","Escondido, CA",2018,"2018",24.581759857067446,"escondido-ca"
"16000US0623182","Fairfield, CA",2018,"2018",32.8062055815566,"fairfield-ca"
"16000US0624680","Fontana, CA",2018,"2018",30.317587900293084,"fontana-ca"
"16000US0626000","Fremont, CA",2018,"2018",34.78516393363974,"fremont-ca"
"16000US0627000","Fresno, CA",2018,"2018",21.826850288927652,"fresno-ca"
"16000US0628000","Fullerton, CA",2018,"2018",29.731026482003983,"fullerton-ca"
"16000US0629000","Garden Grove, CA",2018,"2018",28.74142342132806,"garden-grove-ca"
"16000US0630000","Glendale, CA",2018,"2018",28.53278679997087,"glendale-ca"
"16000US0633000","Hayward, CA",2018,"2018",34.42029866296232,"hayward-ca"
"16000US0636000","Huntington Beach, CA",2018,"2018",29.082696418635976,"huntington-beach-ca"
